UnityTime [s],X,Y,Z,RX,RY,RZ,X2,Y2,Z2,RX2,RY2,RZ2,tangent,ERROR y,X - X2,Y - Y2,Z - Z2,RX - RX2,RY - RY2,RZ - RZ2,
0,586.1,18.65,696.6,355.6315,196.8044,359.802,595.3426,18.88603,693.8279,355.5237,196.3035,0.4632651,0.5034809,0.2034036,-9.242615,-0.2360306,2.772095,0.1078186,0.500946,359.3388,
0.005,605.6736,18.68445,693.7114,355.6315,196.8044,359.802,596.1,18.65,696.6,355.6316,196.8074,359.8018,0.1197207,1.907349E-06,9.573669,0.03445053,-2.88855,-0.0001220703,-0.003005981,0.000213623,
0.01,605.6689,18.68573,693.6956,355.5555,196.4528,359.8388,596.0791,18.65628,696.5252,355.4012,195.7353,359.9264,0.1743007,0.001414807,9.589783,0.02944756,-2.829651,0.1543884,0.717453,-0.08758545,
0.015,605.6813,18.68074,693.7365,355.4952,196.1691,359.8709,596.0774,18.6568,696.5191,355.3909,195.6871,359.9331,0.1778001,0.001498434,9.603882,0.02394485,-2.782593,0.1043701,0.4819946,-0.06219482,
0.02,605.6897,18.67671,693.7648,355.4445,195.9334,359.8997,596.0743,18.65771,696.5082,355.3743,195.6059,359.9448,0.1839893,0.001568069,9.615356,0.01900482,-2.743469,0.07028198,0.3274841,-0.04504395,
0.025,605.6959,18.67317,693.7863,355.4075,195.7609,359.9226,596.0724,18.6583,696.5012,355.3644,195.5593,359.9519,0.188006,0.001401505,9.623474,0.01486588,-2.714844,0.04309082,0.2016449,-0.02932739,
0.03,605.6993,18.67061,693.7981,355.379,195.631,359.9413,596.0696,18.65912,696.4914,355.3508,195.4976,359.9615,0.1934956,0.001279943,9.629639,0.01148224,-2.693298,0.02816772,0.1334686,-0.02023315,
0.035,605.7004,18.66883,693.802,355.3538,195.511,359.9594,596.0652,18.66047,696.4753,355.3312,195.408,359.9765,0.2023974,0.001311746,9.635193,0.008361816,-2.67334,0.02258301,0.1030273,-0.01712036,
0.04,605.7008,18.66725,693.8033,355.3317,195.4074,359.9763,596.0607,18.66181,696.4595,355.3141,195.3286,359.9904,0.2107993,0.001338306,9.640076,0.00544548,-2.656189,0.01760864,0.07876587,-0.0140686,
0.04499999,605.7006,18.66588,693.8019,355.313,195.3202,359.9916,596.0563,18.66313,696.4437,355.3012,195.2639,0.001720105,0.2178837,0.001289437,9.644226,0.002750397,-2.641785,0.0118103,0.05635071,359.9899,
0.04999999,605.6999,18.66466,693.7997,355.2986,195.2543,0.003713817,596.0526,18.66424,696.4305,355.2914,195.2209,0.01026167,0.2237395,0.001075068,9.647278,0.000421524,-2.630859,0.007171631,0.03335571,-0.006547849,
0.05499999,605.6981,18.66402,693.7933,355.2856,195.1925,0.01553323,596.048,18.66563,696.414,355.2796,195.1646,0.02120651,0.2310265,0.001100327,9.650085,-0.00160408,-2.620667,0.005981445,0.02787781,-0.00567328,
0.05999999,605.6961,18.6635,693.7856,355.2742,195.1375,0.02681855,596.0433,18.66704,696.3973,355.2692,195.1169,0.03153297,0.2382893,0.001130799,9.652771,-0.003536224,-2.611633,0.004974365,0.02061462,-0.004714411,
0.06499999,605.6936,18.66312,693.7763,355.2632,195.0896,0.03754278,596.0385,18.66848,696.38,355.2592,195.0684,0.04211892,0.245667,0.00117146,9.65509,-0.005367279,-2.603699,0.00402832,0.02111816,-0.004576143,
0.06999999,605.6906,18.66287,693.7654,355.254,195.0443,0.04801828,596.0336,18.67007,696.3616,355.2507,195.029,0.05193874,0.2528924,0.001160095,9.657043,-0.007200241,-2.596191,0.003295898,0.01527405,-0.003920455,
