x,y,z
551.25,19.49328,650.84
523.421,24.32198,610.4257
573.9861,17.81358,683.7463
572.2461,18.25648,680.8864
565.2161,18.52318,671.6563
553.4981,19.08008,656.6923
537.9401,21.48318,629.8864
561.5261,19.20528,662.4563
503.8161,25.53518,595.5263
494.8361,26.00928,565.3964
553.0496,19.53152,654.5315
587.2405,19.14491,683.3435
575.4456,17.64471,685.9875
537.2656,19.19061,641.6275
534.9725,23.41952,617.7705
528.5626,23.81751,612.8735
507.5656,25.05721,601.8275
501.3275,24.76901,584.9435
485.8055,26.16751,554.5875
497.7896,26.19752,570.7225
551.4615,19.30608,653.2371
557.1955,18.58908,661.0341
566.8615,18.57168,676.8081
530.2115,23.79108,614.5891
500.1955,25.15518,577.8341
491.7155,25.87928,561.2141
564.4255,18.74248,666.7541
580.2355,18.47128,683.2841
485.1855,25.69988,550.0241
536.6135,22.00108,627.2051
